ip,port,protocol,anonymity,lastTested,allowsRefererHeader,allowsUserAgentHeader,allowsCustomHeaders,allowsCookies,allowsPost,allowsHttps,country,connectTime,downloadSpeed,secondsToFirstByte,uptime
159.112.235.194,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.113,1672,0.126,99.997
63.141.128.6,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.21,912,0.23,99.997
66.235.200.229,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.119,1400,0.151,99.997
66.235.200.227,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.007,1034,0.203,99.996
66.235.200.145,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.231,833,0.253,99.997
66.235.200.57,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.2,954,0.221,99.994
141.193.213.85,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.4,490,0.426,99.992
159.112.235.42,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.206,913,0.23,99.994
141.193.213.41,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.098,1824,0.114,99.993
141.193.213.189,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.023,5000,0.043,99.992
63.141.128.206,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.177,1071,0.197,99.996
66.235.200.92,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.237,587,0.36,99.996
159.112.235.77,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.218,875,0.241,99.994
66.235.200.188,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.066,2164,0.097,99.996
63.141.128.208,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.007,5621,0.037,99.996
206.81.28.31,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.173,1029,0.202,100
159.112.235.30,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.042,3426,0.061,99.995
66.235.200.101,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.067,2177,0.097,99.997
66.235.200.87,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.052,2916,0.072,99.995
159.112.235.11,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.17,924,0.226,99.999
159.112.235.66,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.054,3000,0.071,99.997
159.112.235.241,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.222,878,0.239,99.995
159.112.235.197,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.017,6176,0.035,99.997
63.141.128.214,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.025,5621,0.037,99.996
